"","ID","CONDITION","SESSION","BLOCK","TOTAL_PHRASES","P_AGE","P_GENDER","P_HANDEDNESS","PHRASE_NUMBER","PT","TT","PT_LENGTH","TT_LENGTH","IS_LENGTH","WPM","CPS","ERROR_RATE","MINIMUM_STRING_DISTANCE","KEYSTROKES_PER_CHARACTER","CORRECTED_ERROR_RATE","TOTAL_ERROR_RATE","INPUT_TIME","VST","CCC","BACKSPACE_COUNT","CAC","CAR","T_CAT","CAT_R","LEVENSHTEIN_SUBSTITUTION","LEVENSHTEIN_INSERTION","LEVENSHTEIN_DELETION","﻿"
"2","asalrefa","1","1","1","20","36","MALE","RIGHT_H","1","the location of the crime","the location of the crime","25","25","27","62.41872561768531","5.201560468140443","0","0","1.08","3.8461538461538463","3.8461538461538463","4.614","354","0","1","1","3.7037037037037033","0.296","6.415257910706545","0","0","0","﻿"
"3","asalrefa","1","1","1","20","36","MALE","RIGHT_H","2","he was wearing a sweatshirt","he was wearing a sweatshirt","27","27","29","49.421827974021866","4.118485664501822","0","0","1.0740740740740742","3.571428571428571","3.571428571428571","6.313","140","0","1","1","3.4482758620689653","0.703","11.135751623633771","0","0","0","﻿"
"4","asalrefa","1","1","1","20","36","MALE","RIGHT_H","3","her majesty visited our country","her majesty visited our country","31","31","31","63.10254163014899","5.25854513584575","0","0","1","0","0","5.705","214","0","0","0","0","0","0","0","0","0","﻿"
"5","asalrefa","1","1","1","20","36","MALE","RIGHT_H","4","a good response to the question","a good response to the question","31","31","82","14.871116986120292","1.2392597488433577","0","0","2.6451612903225805","41.509433962264154","41.509433962264154","24.208","261","0","22","22","26.82926829268293","9.478","39.15234633179114","0","0","0","﻿"
"6","asalrefa","1","1","1","20","36","MALE","RIGHT_H","5","user friendly interface","user friendly interface","23","23","23","61.0969682943763","5.091414024531359","0","0","1","0","0","4.321","162","0","0","0","0","0","0","0","0","0","﻿"
"7","asalrefa","1","1","1","20","36","MALE","RIGHT_H","6","where can my little dog be","where can my little dog be","26","26","26","65.23157208088715","5.435964340073929","0","0","1","0","0","4.599","116","0","0","0","0","0","0","0","0","0","﻿"
"8","asalrefa","1","1","1","20","36","MALE","RIGHT_H","7","a much higher risk of getting cancer","a much higher risk of getting cancer","36","36","36","63.87832699619772","5.32319391634981","0","0","1","0","0","6.575","253","0","0","0","0","0","0","0","0","0","﻿"
"9","asalrefa","1","1","1","20","36","MALE","RIGHT_H","8","my preferred treat is chocolate","my preferred treat is chocolate","31","31","45","20.417422867513608","1.7014519056261341","0","0","1.4516129032258065","11.428571428571429","11.428571428571429","17.632","805","2","4","6","13.333333333333334","18.745","106.31238656987296","0","0","0","﻿"
"10","asalrefa","1","1","1","20","36","MALE","RIGHT_H","9","flashing red light means stop","flashing red light means stop","29","29","29","66.64022213407378","5.553351844506149","0","0","1","0","0","5.042","252","0","0","0","0","0","0","0","0","0","﻿"
"11","asalrefa","1","1","1","20","36","MALE","RIGHT_H","10","wear a crown with many jewels","wear a crown with many jewels","29","29","29","63.36036205921177","5.2800301716009805","0","0","1","0","0","5.303","189","0","0","0","0","0","0","0","0","0","﻿"
"12","asalrefa","1","1","1","20","36","MALE","RIGHT_H","11","fish are jumping","fish are jumping","16","16","16","66.17647058823529","5.514705882352941","0","0","1","0","0","2.72","133","0","0","0","0","0","0","0","0","0","﻿"
"13","asalrefa","1","1","1","20","36","MALE","RIGHT_H","12","an injustice is committed every day","an injustice is committed every day","35","35","39","52.04081632653061","4.336734693877551","0","0","1.1142857142857143","5.405405405405405","5.405405405405405","7.84","212","0","2","2","5.128205128205128","0.385","4.910714285714286","0","0","0","﻿"
"14","asalrefa","1","1","1","20","36","MALE","RIGHT_H","13","the rationale behind the decision","the rationale behind the decision","33","33","45","46.92655505315899","3.910546254429916","0","0","1.3636363636363635","15.384615384615385","15.384615384615385","8.183","1254","0","6","6","13.333333333333334","1.742","21.288036172552854","0","0","0","﻿"
"15","asalrefa","1","1","1","20","36","MALE","RIGHT_H","14","where did i leave my glasses","where did i leave my glasses","28","28","28","64.3879173290938","5.365659777424483","0","0","1","0","0","5.032","373","0","0","0","0","0","0","0","0","0","﻿"
"16","asalrefa","1","1","1","20","36","MALE","RIGHT_H","15","the force is with you","the force is with you","21","21","23","63.42494714587738","5.2854122621564485","0","0","1.0952380952380953","4.545454545454546","4.545454545454546","3.784","293","0","1","1","4.3478260869565215","0.303","8.00739957716702","0","0","0","﻿"
"17","asalrefa","1","1","1","20","36","MALE","RIGHT_H","16","double double toil and trouble","double double toil and trouble","30","30","30","78.94736842105263","6.578947368421052","0","0","1","0","0","4.408","173","0","0","0","0","0","0","0","0","0","﻿"
"18","asalrefa","1","1","1","20","36","MALE","RIGHT_H","17","the elevator door appears to be stuck","the elevator door appears to be stuck","37","37","37","52.94766515504351","4.412305429586959","0","0","1","0","0","8.159","302","0","0","0","0","0","0","0","0","0","﻿"
"19","asalrefa","1","1","1","20","36","MALE","RIGHT_H","18","it should be sunny tomorrow","it should be sunny tomorrow","27","27","27","66.7951188182402","5.5662599015200165","0","0","1","0","0","4.671","477","0","0","0","0","0","0","0","0","0","﻿"
"20","asalrefa","1","1","1","20","36","MALE","RIGHT_H","19","a feeling of complete exasperation","a feeling of complete exasperation","34","34","36","56.25799119193067","4.6881659326608895","0","0","1.0588235294117647","2.857142857142857","2.857142857142857","7.039","245","0","1","1","2.7777777777777777","0.56","7.955675522091206","0","0","0","﻿"
"21","asalrefa","1","1","1","20","36","MALE","RIGHT_H","20","they love to yap about nothing","they love to yap about nothing","30","30","30","70.0342121151137","5.836184342926142","0","0","1","0","0","4.969","141","0","0","0","0","0","0","0","0","0","﻿"
"22","asalrefa","1","1","2","20","36","MALE","RIGHT_H","1","i will put on my glasses","i will put on my glasses","24","24","26","62.02247191011236","5.168539325842697","0","0","1.0833333333333333","4","4","4.45","221","0","1","1","3.8461538461538463","0.287","6.449438202247191","0","0","0","﻿"
"31","asalrefa","1","1","2","20","36","MALE","RIGHT_H","2","the world is a stage","the world is a stage","20","20","20","71.07231920199501","5.922693266832917","0","0","1","0","0","3.208","157","0","0","0","0","0","0","0","0","0","﻿"
"41","asalrefa","1","1","2","20","36","MALE","RIGHT_H","3","the gun discharged by accident","the gun discharged by accident","30","30","34","55.62659846547314","4.635549872122762","0","0","1.1333333333333333","6.25","6.25","6.256","166","0","2","2","5.88235294117647","0.552","8.823529411764707","0","0","0","﻿"
"51","asalrefa","1","1","2","20","36","MALE","RIGHT_H","4","this equation is too complicated","this equation is too complicated","32","32","32","70.2416918429003","5.853474320241691","0","0","1","0","0","5.296","133","0","0","0","0","0","0","0","0","0","﻿"
"61","asalrefa","1","1","2","20","36","MALE","RIGHT_H","5","a thoroughly disgusting thing to say","a thoroughly disgusting thing to say","36","36","42","52.186878727634195","4.348906560636183","0","0","1.1666666666666667","7.6923076923076925","7.6923076923076925","8.048","221","0","3","3","7.142857142857142","1.409","17.507455268389663","0","0","0","﻿"
"71","asalrefa","1","1","2","20","36","MALE","RIGHT_H","6","the ventilation system is broken","the ventilation system is broken","32","32","32","58.92602566133376","4.91050213844448","0","0","1","0","0","6.313","220","0","0","0","0","0","0","0","0","0","﻿"
"81","asalrefa","1","1","2","20","36","MALE","RIGHT_H","7","they watched the entire movie","they watched the entire movie","29","29","29","70.46979865771812","5.87248322147651","0","0","1","0","0","4.768","507","0","0","0","0","0","0","0","0","0","﻿"
"91","asalrefa","1","1","2","20","36","MALE","RIGHT_H","8","a yard is almost as a meter","a yard is almost as a meter","27","27","49","24.938054512029414","2.0781712093357845","0","0","1.8148148148148149","28.947368421052634","28.947368421052634","12.511","358","0","11","11","22.448979591836736","4.568","36.51186955479178","0","0","0","﻿"
